"doctor_id","clinic_id","doctor_name","doctor_gender","doctor_specialty","doctor_consultation_fee"
"DOC000001","CLN00025","dr. Abyasa Jailani","L","Umum",50000
"DOC000002","CLN00026","dr. Abyasa Jailani","L","Umum",50000
"DOC000003","CLN00016","dr. Abyasa Rahayu, Sp.OG","L","Obgyn",1e+05
"DOC000004","CLN00017","dr. Abyasa Rahayu, Sp.OG","L","Obgyn",1e+05
"DOC000005","CLN00018","dr. Abyasa Rahayu, Sp.OG","L","Obgyn",1e+05
"DOC000006","CLN00024","dr. Abyasa Suryono","L","Umum",50000
"DOC000007","CLN00025","dr. Abyasa Suryono","L","Umum",50000
"DOC000008","CLN00016","dr. Ade Hidayanto","L","Umum",50000
"DOC000009","CLN00018","dr. Ade Hidayanto","L","Umum",50000
"DOC000010","CLN00057","dr. Ade Puspita, Sp.THT","P","THT",80000
"DOC000011","CLN00058","dr. Ade Puspita, Sp.THT","P","THT",80000
"DOC000012","CLN00073","dr. Ade Rahayu, Sp.A","P","Anak",90000
"DOC000013","CLN00074","dr. Ade Rahayu, Sp.A","P","Anak",90000
"DOC000014","CLN00032","dr. Ade Riyanti","L","Umum",50000
"DOC000015","CLN00050","dr. Adhiarja Budiman","L","Umum",50000
"DOC000016","CLN00068","dr. Adhiarja Wulandari, Sp.KK","L","Kulit & Kelamin",80000
"DOC000017","CLN00069","dr. Adhiarja Wulandari, Sp.KK","L","Kulit & Kelamin",80000
"DOC000018","CLN00070","dr. Adhiarja Wulandari, Sp.KK","L","Kulit & Kelamin",80000
"DOC000019","CLN00019","dr. Adiarja Astuti, Sp.A","L","Anak",80000
"DOC000020","CLN00020","dr. Adiarja Astuti, Sp.A","L","Anak",80000
"DOC000021","CLN00084","dr. Adiarja Hidayanto","L","Umum",50000
"DOC000022","CLN00087","dr. Adiarja Hidayanto","L","Umum",50000
"DOC000023","CLN00084","dr. Adiarja Permadi, Sp.THT","L","THT",80000
"DOC000024","CLN00085","dr. Adiarja Permadi, Sp.THT","L","THT",80000
"DOC000025","CLN00087","dr. Adiarja Permadi, Sp.THT","L","THT",80000
"DOC000026","CLN00080","dr. Adika Marbun, Sp.PD","L","Penyakit Dalam",80000
"DOC000027","CLN00081","dr. Adika Marbun, Sp.PD","L","Penyakit Dalam",80000
"DOC000028","CLN00086","dr. Adikara Purwanti","L","Umum",50000
"DOC000029","CLN00087","dr. Adikara Purwanti","L","Umum",50000
"DOC000030","CLN00068","dr. Adinata Kusmawati, Sp.KK","L","Kulit & Kelamin",80000
"DOC000031","CLN00069","dr. Adinata Kusmawati, Sp.KK","L","Kulit & Kelamin",80000
"DOC000032","CLN00070","dr. Adinata Kusmawati, Sp.KK","L","Kulit & Kelamin",80000
"DOC000033","CLN00017","dr. Aditya Hakim, Sp.PD","L","Penyakit Dalam",80000
"DOC000034","CLN00049","dr. Aditya Tampubolon, Sp.A","L","Anak",80000
"DOC000035","CLN00086","dr. Agnes Sihombing, Sp.THT","P","THT",80000
"DOC000036","CLN00087","dr. Agnes Sihombing, Sp.THT","P","THT",80000
"DOC000037","CLN00068","dr. Aisyah Wasita","P","Umum",50000
"DOC000038","CLN00070","dr. Aisyah Wasita","P","Umum",50000
"DOC000039","CLN00028","dr. Ajeng Maryati, Sp.KK","P","Kulit & Kelamin",80000
"DOC000040","CLN00029","dr. Ajeng Maryati, Sp.KK","P","Kulit & Kelamin",80000
"DOC000041","CLN00030","dr. Ajeng Maryati, Sp.KK","P","Kulit & Kelamin",80000
"DOC000042","CLN00031","dr. Ajeng Maryati, Sp.KK","P","Kulit & Kelamin",80000
"DOC000043","CLN00032","dr. Ajeng Maryati, Sp.KK","P","Kulit & Kelamin",80000
"DOC000044","CLN00084","dr. Ajeng Riyanti, Sp.PD","P","Penyakit Dalam",80000
"DOC000045","CLN00086","dr. Ajeng Riyanti, Sp.PD","P","Penyakit Dalam",80000
"DOC000046","CLN00019","dr. Ajeng Zulkarnain","P","Umum",50000
"DOC000047","CLN00021","dr. Ajeng Zulkarnain","P","Umum",50000
"DOC000048","CLN00002","dr. Ajiman Habibi","L","Umum",50000
"DOC000049","CLN00070","dr. Ajiman Padmasari, Sp.A","L","Anak",80000
"DOC000050","CLN00073","dr. Ajiman Wasita, Sp.PD","L","Penyakit Dalam",90000
"DOC000051","CLN00074","dr. Ajiman Wasita, Sp.PD","L","Penyakit Dalam",90000
"DOC000052","CLN00075","dr. Ajiman Wasita, Sp.PD","L","Penyakit Dalam",90000
"DOC000053","CLN00022","dr. Ajimat Mayasari, Sp.PD","L","Penyakit Dalam",80000
"DOC000054","CLN00071","dr. Ajimat Suryono, Sp.THT","L","THT",1e+05
"DOC000055","CLN00072","dr. Ajimat Suryono, Sp.THT","L","THT",1e+05
"DOC000056","CLN00073","dr. Ajimat Suryono, Sp.THT","L","THT",1e+05
"DOC000057","CLN00074","dr. Ajimat Suryono, Sp.THT","L","THT",1e+05
"DOC000058","CLN00075","dr. Ajimat Suryono, Sp.THT","L","THT",1e+05
"DOC000059","CLN00076","dr. Ajimat Suryono, Sp.THT","L","THT",1e+05
"DOC000060","CLN00077","dr. Ajimat Suryono, Sp.THT","L","THT",1e+05
"DOC000061","CLN00078","dr. Ajimat Suryono, Sp.THT","L","THT",1e+05
"DOC000062","CLN00079","dr. Ajimat Suryono, Sp.THT","L","THT",1e+05
"DOC000063","CLN00057","dr. Ajimin Rajasa, Sp.THT","L","THT",80000
"DOC000064","CLN00058","dr. Ajimin Rajasa, Sp.THT","L","THT",80000
"DOC000065","CLN00068","dr. Ajiono Santoso","L","Umum",50000
"DOC000066","CLN00070","dr. Ajiono Santoso","L","Umum",50000
"DOC000067","CLN00006","dr. Alambana Utama","L","Umum",60000
"DOC000068","CLN00007","dr. Alambana Utama","L","Umum",60000
"DOC000069","CLN00008","dr. Alambana Utama","L","Umum",60000
"DOC000070","CLN00009","dr. Alambana Utama","L","Umum",60000
"DOC000071","CLN00068","dr. Alambana Wahyudin, Sp.KK","L","Kulit & Kelamin",80000
"DOC000072","CLN00069","dr. Alambana Wahyudin, Sp.KK","L","Kulit & Kelamin",80000
"DOC000073","CLN00070","dr. Alambana Wahyudin, Sp.KK","L","Kulit & Kelamin",80000
"DOC000074","CLN00019","dr. Alika Aryani","P","Umum",50000
"DOC000075","CLN00041","dr. Alika Latupono, Sp.THT","P","THT",80000
"DOC000076","CLN00042","dr. Alika Latupono, Sp.THT","P","THT",80000
"DOC000077","CLN00043","dr. Alika Latupono, Sp.THT","P","THT",80000
"DOC000078","CLN00044","dr. Alika Latupono, Sp.THT","P","THT",80000
"DOC000079","CLN00045","dr. Alika Latupono, Sp.THT","P","THT",80000
"DOC000080","CLN00046","dr. Alika Latupono, Sp.THT","P","THT",80000
"DOC000081","CLN00047","dr. Alika Latupono, Sp.THT","P","THT",80000
"DOC000082","CLN00048","dr. Alika Latupono, Sp.THT","P","THT",80000
"DOC000083","CLN00049","dr. Alika Latupono, Sp.THT","P","THT",80000
"DOC000084","CLN00042","dr. Almira Kuswandari","P","Umum",50000
"DOC000085","CLN00044","dr. Almira Kuswandari","P","Umum",50000
"DOC000086","CLN00048","dr. Almira Kuswandari","P","Umum",50000
"DOC000087","CLN00026","dr. Almira Ramadan","P","Umum",50000
"DOC000088","CLN00084","dr. Almira Yulianti","P","Umum",50000
"DOC000089","CLN00085","dr. Almira Yulianti","P","Umum",50000
"DOC000090","CLN00087","dr. Almira Yulianti","P","Umum",50000
"DOC000091","CLN00059","dr. Amalia Puspasari","P","Umum",50000
"DOC000092","CLN00060","dr. Amalia Puspasari","P","Umum",50000
"DOC000093","CLN00061","dr. Amalia Puspasari","P","Umum",50000
"DOC000094","CLN00019","dr. Amalia Siregar, Sp.THT","P","THT",80000
"DOC000095","CLN00020","dr. Amalia Siregar, Sp.THT","P","THT",80000
"DOC000096","CLN00021","dr. Amalia Siregar, Sp.THT","P","THT",80000
"DOC000097","CLN00019","dr. Amelia Hidayanto, Sp.PD","P","Penyakit Dalam",80000
"DOC000098","CLN00001","dr. Amelia Lazuardi","P","Umum",50000
"DOC000099","CLN00002","dr. Amelia Lazuardi","P","Umum",50000
"DOC000100","CLN00012","dr. Amelia Maryadi","P","Umum",50000
"DOC000101","CLN00014","dr. Amelia Maryadi","P","Umum",50000
"DOC000102","CLN00008","dr. Ami Dongoran, Sp.PD","P","Penyakit Dalam",90000
"DOC000103","CLN00071","dr. Among Kurniawan","L","Umum",60000
"DOC000104","CLN00073","dr. Among Kurniawan","L","Umum",60000
"DOC000105","CLN00075","dr. Among Kurniawan","L","Umum",60000
"DOC000106","CLN00077","dr. Among Kurniawan","L","Umum",60000
"DOC000107","CLN00079","dr. Among Kurniawan","L","Umum",60000
"DOC000108","CLN00001","dr. Among Riyanti","L","Umum",50000
"DOC000109","CLN00053","dr. Ana Budiyanto, Sp.PD","P","Penyakit Dalam",80000
"DOC000110","CLN00055","dr. Ana Budiyanto, Sp.PD","P","Penyakit Dalam",80000
"DOC000111","CLN00071","dr. Ana Sitompul, Sp.THT","P","THT",1e+05
"DOC000112","CLN00072","dr. Ana Sitompul, Sp.THT","P","THT",1e+05
"DOC000113","CLN00073","dr. Ana Sitompul, Sp.THT","P","THT",1e+05
"DOC000114","CLN00074","dr. Ana Sitompul, Sp.THT","P","THT",1e+05
"DOC000115","CLN00075","dr. Ana Sitompul, Sp.THT","P","THT",1e+05
